"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Cheshire","Mersey-Cheshire","2017-11-01","Nov",2017,"Q4_2017",0,18.7,28,15.4,25,5.6,17.4,7.5,2.9,7.9,11.5,13.6,100
"Cleveland","North East","2017-11-01","Nov",2017,"Q4_2017",0,18.3,0,10.3,0,3,14.3,23.1,5.2,12.5,5.9,10,100
"Cumbria","North West","2017-11-01","Nov",2017,"Q4_2017",0,13,25,33.3,0,2.6,14.3,13.6,3.7,2.6,33.3,8.3,100
"Derbyshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,19.7,0,17.6,11.1,10.1,5.3,13.2,1.8,7.7,0,16.1,100
"Devon and Cornwall","South West","2017-11-01","Nov",2017,"Q4_2017",20,12.5,18.2,6.7,16.7,4.9,8.3,9.8,0,7,16.7,10.4,100
"Dorset","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",100,12,35.3,7.1,33.3,5.6,6.7,8,2.7,9.1,15.4,10.8,100
"Durham","North East","2017-11-01","Nov",2017,"Q4_2017",0,15.6,25,24,0,5.1,0,37.5,0,14.6,14.3,5.8,100
"Dyfed Powys","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,18.1,27.3,16.7,0,4.5,0,15,3.6,20,25,13.7,100
"Essex","East of England","2017-11-01","Nov",2017,"Q4_2017",50,26.3,43.5,10.3,0,5.7,28.6,11.1,2.7,8.2,23.1,21.9,100
"Gloucestershire","South West","2017-11-01","Nov",2017,"Q4_2017",0,21.1,0,8.3,33.3,6.6,11.1,18.2,5.6,6.7,25,5.2,100
"GreaterManchester","North West","2017-11-01","Nov",2017,"Q4_2017",12.5,21.6,26.5,3.2,7.7,7.1,12,9.6,6.7,7.7,18.5,18.6,100
"Gwent","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,20.8,33.3,14.3,0,11.9,16.7,36.4,4,21.7,9.1,16.1,100
"Hampshire","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",0,17,6.8,7.4,0,5.4,10,4.5,7.5,14.3,20,9.1,100
"Hertfordshire","Thames and Chiltern","2017-11-01","Nov",2017,"Q4_2017",100,24.9,10,27.8,38.5,3.2,7.7,14.3,8.8,16.3,20,16.1,100
"Humberside","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",0,16.1,33.3,0,14.3,4.6,16.7,15.8,5.1,6.8,12.5,15.1,100
"Kent","South East","2017-11-01","Nov",2017,"Q4_2017",41.2,15.9,14.6,9.1,0,7.8,11.1,20.9,4.7,28.2,11.1,7.5,100
"Lancashire","North West","2017-11-01","Nov",2017,"Q4_2017",0,21.7,13.3,15.4,23.5,4.2,0,12.9,10.6,14.3,0,17.7,100
"Leicestershire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,19.8,33.3,3.6,0,5.3,0,20,7.6,11.3,10,19,100
"Lincolnshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,14.1,14.3,5.9,75,7.6,22.2,10.5,6.4,9.8,26.7,24,100
"Merseyside","Mersey-Cheshire","2017-11-01","Nov",2017,"Q4_2017",33.3,21.5,16.7,12.9,50,6.6,8.7,12,6.7,11.6,18.2,14.4,100
"Metropolitan and City","Greater London","2017-11-01","Nov",2017,"Q4_2017",30.6,29.5,31.8,17,21.9,15.3,13.7,18.6,8.1,24.7,12.3,24.5,100
"Norfolk","East of England","2017-11-01","Nov",2017,"Q4_2017",0,12.9,7.1,11.8,0,3.2,6.7,15.8,4,9.8,28.6,5.8,100
"Northamptonshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,18.2,0,18.2,33.3,10.8,33.3,6.5,4.3,0,12.5,10.4,100
"Northumbria","North East","2017-11-01","Nov",2017,"Q4_2017",66.7,28.6,41,22.8,0,8.3,18.2,15.9,9.9,16,25,16.4,100
"North Wales","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,14.5,35.7,0,0,2.2,27.3,10.3,0,7.5,0,11.4,100
"North Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",100,22.5,25,11.8,50,8,0,33.3,10.7,11.9,0,14.3,100
"Nottinghamshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,17.7,25.9,12.9,25,5.9,17.6,12.2,9.7,9,16,5.9,100
"South Wales","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,22,16.7,15.2,60,7.1,8.7,7.7,5,7.2,17.2,8.6,100
"South Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",0,19.9,7.1,9.6,9.1,6.3,13,18.8,2.5,7,0,7.6,100
"Staffordshire","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,23.9,8.3,15.8,50,7.4,12.5,14,4.3,10.6,0,13.3,100
"Suffolk","East of England","2017-11-01","Nov",2017,"Q4_2017",0,11.5,7.7,0,0,1.9,0,5.6,8.2,7.9,16.7,9.1,100
"Surrey","South East","2017-11-01","Nov",2017,"Q4_2017",0,19.4,21.1,10,0,3,25,5.3,5.3,7.4,0,13.2,100
"Sussex","South East","2017-11-01","Nov",2017,"Q4_2017",0,22.6,33.3,6.1,28.6,9.3,21.4,17.1,12.3,14.3,6.3,10.2,100
"Thames Valley","Thames and Chiltern","2017-11-01","Nov",2017,"Q4_2017",0,19.5,26.2,10.3,31.3,8.6,20,10.9,5.5,17.2,11.1,13.5,100
"Warwickshire","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,28,30.8,9.1,0,0,0,0,0,13,0,14.5,100
"West Mercia","West Midlands","2017-11-01","Nov",2017,"Q4_2017",50,20.2,34.8,13,60,6.3,5.3,15.6,8,8.6,22.2,14.7,100
"West Midlands","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,17.6,19.5,10.4,8.3,6.7,11.7,12.5,6.4,15.8,8.7,9.7,100
"West Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",16.7,25,30.2,5.3,4,5.6,11.1,11.7,6.3,9.6,19,11.9,100
"Wiltshire","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",0,17.8,25,20,0,4.6,11.1,15,0,17.9,40,6.9,100
"Avon and Somerset","South West","2017-12-01","Dec",2017,"Q4_2017",0,16.1,20,16.1,12.5,5.3,0,7.3,4.7,16.9,23.1,5.5,100
"Bedfordshire","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",0,24.5,0,10,0,15.7,20,23.5,0,10.5,50,15.9,100
"Cambridgeshire","East of England","2017-12-01","Dec",2017,"Q4_2017",0,18.4,22.2,21.4,100,5,9.1,7.7,11.5,10,40,4.5,100
"Cheshire","Mersey-Cheshire","2017-12-01","Dec",2017,"Q4_2017",50,19.5,24.1,14.3,0,7.4,12.5,6.8,7.6,14.4,0,15.2,100
"Cleveland","North East","2017-12-01","Dec",2017,"Q4_2017",0,25.4,16.7,11.4,0,5.7,8.3,0,3.3,10.9,0,19.4,100
"Cumbria","North West","2017-12-01","Dec",2017,"Q4_2017",0,12.9,0,0,50,4.8,28.6,21.4,0,7.9,0,8.3,100
"Derbyshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,17.8,11.1,0,0,10.4,0,25,4.5,18.5,48.4,17.2,100
"Devon and Cornwall","South West","2017-12-01","Dec",2017,"Q4_2017",0,16,0,0,40,4.9,16.7,5.9,11.6,21.4,0,12.7,100
"Dorset","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",0,10.2,37.5,7.7,0,4,0,21.1,2.8,29,20,6.4,100
"Durham","North East","2017-12-01","Dec",2017,"Q4_2017",0,20.6,0,14.3,0,11.1,0,13.6,0,3.7,0,4.9,100
"Dyfed Powys","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,19.2,10,20,0,17.2,0,0,0,15.8,25,8,100
"Essex","East of England","2017-12-01","Dec",2017,"Q4_2017",0,20.9,25.6,3.2,0,3.5,17.2,21.2,6.2,12.3,18.2,17.5,100
"Gloucestershire","South West","2017-12-01","Dec",2017,"Q4_2017",0,9.5,0,0,0,2.6,40,0,0,0,20,11.6,100
"GreaterManchester","North West","2017-12-01","Dec",2017,"Q4_2017",10,16,25,0,18.2,5.6,30.8,4.3,4.3,11.1,10.3,8.2,100
"Gwent","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,20,25,25,40,2.3,20,31.6,8,0,33.3,11.3,100
"Hampshire","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",0,17,25.9,12.9,12.5,6.6,2.8,16,9,5.3,0,11.4,100
"Hertfordshire","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",14.3,18.2,14.3,0,0,11.6,5.6,26.7,10.9,13.5,20,21.3,100
"Humberside","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",50,16.7,25,11.5,50,4.7,7.4,27.8,3,4.7,23.1,11.1,100
"Kent","South East","2017-12-01","Dec",2017,"Q4_2017",0,24.6,23.8,26.3,33.3,8.6,12.1,11.4,12.2,16.7,4.5,9.2,100
"Lancashire","North West","2017-12-01","Dec",2017,"Q4_2017",100,21.2,8.3,7.1,16.7,5.7,17.9,11.9,4.5,11.9,0,17.2,100
"Leicestershire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",50,19.1,32.1,9.5,0,5.4,18.8,15.4,6.9,11.9,18.2,16.8,100
"Lincolnshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,17.6,0,0,0,7.1,0,20,0,15,0,17.7,100
"Merseyside","Mersey-Cheshire","2017-12-01","Dec",2017,"Q4_2017",0,23.1,23.3,0,0,6.1,4,28.6,4.7,20.8,14.3,15.3,100
"Metropolitan and City","Greater London","2017-12-01","Dec",2017,"Q4_2017",40,28.4,29.3,12.4,25.3,10.7,15.1,23.3,8.2,19.9,11.3,20.2,100
"Norfolk","East of England","2017-12-01","Dec",2017,"Q4_2017",0,14.4,6.7,33.3,50,5.7,16.7,11.8,4.7,6.8,0,4.1,100
"Northamptonshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",33.3,15.3,0,25,20,13,25,12.5,9.5,3.8,17.6,15.7,100
"Northumbria","North East","2017-12-01","Dec",2017,"Q4_2017",0,27.2,32.7,6.4,33.3,9.7,19,17.5,9.1,12.8,16.7,14,100
"North Wales","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,16.3,35.7,0,50,3.5,0,6.3,5.9,7.7,33.3,11.8,100
"North Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,21,0,12.5,33.3,10.1,0,12.5,0,17.6,26.3,6.7,100
"Nottinghamshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,24.2,30.6,11.5,13.3,3.2,22.7,10.5,13,8.2,18.2,7.8,100
"South Wales","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,23.9,16.7,5.9,27.3,7.8,15.4,12.7,6.5,6.5,0,12.9,100
"South Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,20.3,20,22,33.3,5.5,6.3,10.2,7.1,18.2,0,24.1,100
"Staffordshire","West Midlands","2017-12-01","Dec",2017,"Q4_2017",0,21.6,17.6,11.8,33.3,9.3,21.4,20.5,9.8,5.7,6.7,9.8,100
"Suffolk","East of England","2017-12-01","Dec",2017,"Q4_2017",0,11.1,16.7,0,0,8.5,50,0,2.6,9.4,0,5.1,100
"Surrey","South East","2017-12-01","Dec",2017,"Q4_2017",0,15.1,16.7,33.3,0,11.6,14.3,12.5,2.7,10,33.3,7.8,100
"Sussex","South East","2017-12-01","Dec",2017,"Q4_2017",0,14.4,34.5,8.3,9.1,3.6,18.8,14.3,3.8,13.6,7.7,10.4,100
"Thames Valley","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",50,21.4,26.7,12.1,14.3,8.9,15.4,21.3,6.1,15,5.9,9.5,100
"Warwickshire","West Midlands","2017-12-01","Dec",2017,"Q4_2017",50,19.7,45.5,0,100,9.3,0,0,0,19,100,13,100
"West Mercia","West Midlands","2017-12-01","Dec",2017,"Q4_2017",100,18.2,17.4,25,42.9,4.6,0,12,0,5.4,12.5,11,100
"West Midlands","West Midlands","2017-12-01","Dec",2017,"Q4_2017",0,20.2,33.8,16.3,17,9.3,8.2,21.3,4.7,10.8,17.4,12,100
"West Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,16.3,26.4,3.7,15.8,10,19.2,16.5,7.7,13.7,6.4,13.9,100
"Wiltshire","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",50,12.9,40,0,0,1.5,0,15.8,3.6,8.7,0,6.3,100
"Avon and Somerset","South West","2018-01-01","Jan",2018,"Q1_2018",50,16.4,20.4,23.1,28.6,8.6,0,13.2,7.4,11.7,0,10.9,100
"Bedfordshire","Thames and Chiltern","2018-01-01","Jan",2018,"Q1_2018",100,21.7,16.7,7.7,33.3,6.9,16.7,15.4,3.1,14.8,16.7,24.8,100
"Cambridgeshire","East of England","2018-01-01","Jan",2018,"Q1_2018",0,23.8,0,17.6,0,8.3,13.3,18.8,0,22.9,71.4,14.7,100
"Cheshire","Mersey-Cheshire","2018-01-01","Jan",2018,"Q1_2018",0,17.4,16.1,0,0,8,12,15.6,4.2,3.7,0,10.6,100
"Cleveland","North East","2018-01-01","Jan",2018,"Q1_2018",0,23.5,14.3,20.6,50,3,0,11.8,9.8,14.3,0,6.6,100
"Cumbria","North West","2018-01-01","Jan",2018,"Q1_2018",0,8.2,0,13.3,0,6.2,0,10,0,4.7,0,7.6,100
"Derbyshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,23.8,30,26.3,50,11,4.2,21.2,5.2,15.6,9.5,7.6,100
"Devon and Cornwall","South West","2018-01-01","Jan",2018,"Q1_2018",0,11.6,0,0,10,7.1,22.2,5.4,2.2,7,0,8.9,100
"Dorset","Oxfordshire","2018-01-01","Jan",2018,"Q1_2018",0,15.2,15.8,15,0,4.1,0,12,4.3,23.3,0,6.7,100
"Durham","North East","2018-01-01","Jan",2018,"Q1_2018",0,16.3,0,16,25,8.8,18.2,17.9,9.1,17.9,22.2,3.2,100
"Dyfed Powys","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",0,13.5,27.3,0,0,1.5,0,5.6,3.8,12.9,0,11.3,100
"Essex","East of England","2018-01-01","Jan",2018,"Q1_2018",0,21,26.8,0,44.4,6.6,16.7,13.6,7.9,17.9,11.8,17.5,100
"Gloucestershire","South West","2018-01-01","Jan",2018,"Q1_2018",0,12.7,0,28.6,0,9.5,14.3,0,4.3,17.4,0,7.4,100
"GreaterManchester","North West","2018-01-01","Jan",2018,"Q1_2018",25,12.8,30,17.3,4,5.2,8.6,7.6,6.7,10.3,6.3,15.3,100
"Gwent","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",0,24.7,25,46.2,0,7.1,0,13.8,6.4,13.2,0,10.3,100
"Hampshire","Oxfordshire","2018-01-01","Jan",2018,"Q1_2018",25,16.3,17.1,8.3,7.1,5,21.2,15.9,5.6,8.9,23.8,9.6,100
"Hertfordshire","Thames and Chiltern","2018-01-01","Jan",2018,"Q1_2018",0,19.7,11.1,15.4,23.1,7.9,13.6,16.1,2.2,14.3,0,15.2,100
"Humberside","Yorkshire and Humberside","2018-01-01","Jan",2018,"Q1_2018",0,17.9,0,14.3,16.7,8.5,0,6.5,2.5,13.2,8.3,8.3,100
"Kent","South East","2018-01-01","Jan",2018,"Q1_2018",37.5,20.3,19.2,21.2,25,9.2,16.7,19.4,5.9,15,8.7,10.2,100
"Lancashire","North West","2018-01-01","Jan",2018,"Q1_2018",33.3,18.3,7.1,14.3,22.7,8.7,13.8,7.6,8.8,12.6,4,12.5,100
"Leicestershire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,20.5,31.6,6.3,0,8.9,6.7,12.2,4.5,6.6,11.1,18.3,100
"Lincolnshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,13.9,16.7,16,50,3.7,0,8.7,4,14.3,21.7,18,100
"Merseyside","Mersey-Cheshire","2018-01-01","Jan",2018,"Q1_2018",0,17.7,37.9,8.3,33.3,3.9,8.8,7,5.5,9.1,15.8,10.3,100
"Metropolitan and City","Greater London","2018-01-01","Jan",2018,"Q1_2018",44,30.3,35.5,16.7,19.4,17.3,19,21.6,8.4,26.3,10.7,23.5,100
"Norfolk","East of England","2018-01-01","Jan",2018,"Q1_2018",0,15.2,18.8,9.1,0,4.8,0,7.8,5.8,7.6,16.7,9.9,100
"Northamptonshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,18.2,0,10.5,0,3.1,10,10,2.9,9.1,0,8.7,100
"Northumbria","North East","2018-01-01","Jan",2018,"Q1_2018",50,21.3,22.2,20,0,8.4,5.9,27.8,2.6,17.5,10,8.1,100
"North Wales","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",50,15.8,13,12.5,50,4.1,0,9.8,0,6.8,11.1,11.9,100
"North Yorkshire","Yorkshire and Humberside","2018-01-01","Jan",2018,"Q1_2018",0,15.1,25,20,0,6.7,0,8.7,18.2,10,0,3.3,100
"Nottinghamshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",25,22.2,15.6,7.7,10,6.3,11.1,17.9,8.3,12.6,6.9,10.7,100
"South Wales","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",0,23.2,38.5,22.2,28.6,4,5.7,18.9,4.5,14.7,6.1,10.3,100
"South Yorkshire","Yorkshire and Humberside","2018-01-01","Jan",2018,"Q1_2018",50,21.7,8.3,10.4,40,2.7,12.5,4.7,7.8,9.5,13,12.9,100
"Staffordshire","West Midlands","2018-01-01","Jan",2018,"Q1_2018",0,21.8,32.3,20,50,7.9,16.7,14.9,6.3,5.8,5,14.6,100
"Suffolk","East of England","2018-01-01","Jan",2018,"Q1_2018",0,12.5,0,0,0,2.7,14.3,8,4.1,11.9,21.4,8.5,100
"Surrey","South East","2018-01-01","Jan",2018,"Q1_2018",100,20,28.6,0,0,8.1,0,5.9,6.7,5,0,6.8,100
"Sussex","South East","2018-01-01","Jan",2018,"Q1_2018",100,25.6,28.9,0,25,3.1,0,9.7,3.4,8.9,0,12.3,100
"Thames Valley","Thames and Chiltern","2018-01-01","Jan",2018,"Q1_2018",33.3,22.2,30.3,10.5,16.7,7.7,13.6,18.6,4.2,9.3,8.3,8.6,100
"Warwickshire","West Midlands","2018-01-01","Jan",2018,"Q1_2018",0,18.8,41.7,22.2,100,8,11.1,20,0,21.1,33.3,20.9,100
"West Mercia","West Midlands","2018-01-01","Jan",2018,"Q1_2018",0,19.4,37.5,26.3,33.3,9.4,19,11.1,3,2.9,5.9,10.7,100
"West Midlands","West Midlands","2018-01-01","Jan",2018,"Q1_2018",7.7,20.8,19.4,12.8,21.5,9.6,16.9,9.3,7,12.1,15.9,14.1,100
"West Yorkshire","Yorkshire and Humberside","2018-01-01","Jan",2018,"Q1_2018",22.2,17.7,23.5,10.3,20,3.9,3,7.1,6.5,5.7,14.7,10.2,100
"Wiltshire","Oxfordshire","2018-01-01","Jan",2018,"Q1_2018",0,14.4,16.7,0,0,3.2,0,12,0,20,0,2.7,100
"Avon and Somerset","South West","2018-02-01","Feb",2018,"Q1_2018",0,20.8,25,12.5,66.7,8.8,6.3,22.4,7.7,11.3,0,12.4,100
"Bedfordshire","Thames and Chiltern","2018-02-01","Feb",2018,"Q1_2018",0,34.6,16.7,0,10,9.3,12.5,0,0,7.4,0,23.3,100
"Cambridgeshire","East of England","2018-02-01","Feb",2018,"Q1_2018",0,22.7,11.1,11.1,0,2.9,12.5,5,6.7,25,0,8.9,100
"Cheshire","Mersey-Cheshire","2018-02-01","Feb",2018,"Q1_2018",0,18.4,30.8,8.3,50,6.2,11.1,14.3,8.8,3.1,6.3,15.5,100
"Cleveland","North East","2018-02-01","Feb",2018,"Q1_2018",0,16.9,27.3,4.7,23.5,2.7,6.3,15.2,5.5,14.6,28.6,13.3,100
"Cumbria","North West","2018-02-01","Feb",2018,"Q1_2018",0,11.4,0,23.1,0,1.3,7.1,7.1,9.7,2.7,0,10.3,100
"Derbyshire","East Midlands","2018-02-01","Feb",2018,"Q1_2018",0,14.2,14.3,26.3,50,2.3,21.4,15.8,12.5,8.2,7.7,17.7,100
"Devon and Cornwall","South West","2018-02-01","Feb",2018,"Q1_2018",0,11.4,0,0,20,4.8,29.4,10.3,6.3,8.2,0,7.4,100
"Dorset","Oxfordshire","2018-02-01","Feb",2018,"Q1_2018",0,11.3,20,14.3,0,3,0,7.7,2.2,8.1,7.1,7.6,100
"Durham","North East","2018-02-01","Feb",2018,"Q1_2018",0,18.3,0,6.7,50,5.1,7.7,19,0,9.7,37.5,7.8,100
"Dyfed Powys","Cymru/Wales","2018-02-01","Feb",2018,"Q1_2018",0,7.5,37.5,0,0,0,0,13.3,1.6,20,0,8.8,100
"Essex","East of England","2018-02-01","Feb",2018,"Q1_2018",0,22.1,33.3,3.6,10,6.7,6.3,10,8.3,14.5,33.3,22.5,100
"Gloucestershire","South West","2018-02-01","Feb",2018,"Q1_2018",0,21.8,0,7.7,100,4.3,0,15,9.7,11.8,0,8.7,100
"GreaterManchester","North West","2018-02-01","Feb",2018,"Q1_2018",12.5,16.2,25.6,16.7,10,5.9,9.1,8.2,11,15,9.4,20.1,100
"Gwent","Cymru/Wales","2018-02-01","Feb",2018,"Q1_2018",0,17.5,16.7,12.5,50,7.8,0,21.1,5,13.3,20,18.6,100
"Hampshire","Oxfordshire","2018-02-01","Feb",2018,"Q1_2018",0,17.6,6.9,14.3,0,5.1,5.3,6.4,5.7,11.7,0,11.1,100
"Hertfordshire","Thames and Chiltern","2018-02-01","Feb",2018,"Q1_2018",0,18.2,0,12.5,16.7,9.9,15.8,26.1,11.1,13.9,0,22.5,100
"Humberside","Yorkshire and Humberside","2018-02-01","Feb",2018,"Q1_2018",0,14.5,40,5.7,0,8.9,0,13,0,8.8,0,4.6,100
"Kent","South East","2018-02-01","Feb",2018,"Q1_2018",0,18.8,17.6,20,0,3.8,15.6,10.6,5.7,15.7,26.7,12,100
"Lancashire","North West","2018-02-01","Feb",2018,"Q1_2018",0,18.1,9.1,8.1,26.3,4.4,10.5,7.5,5.9,11.6,17.4,16.5,100
"Leicestershire","East Midlands","2018-02-01","Feb",2018,"Q1_2018",16.7,18.9,21.9,5,12.5,4.9,0,22.6,12.2,14.8,20,16.2,100
"Lincolnshire","East Midlands","2018-02-01","Feb",2018,"Q1_2018",0,22.6,0,9.1,0,5.2,0,9.5,8.3,14,4.8,15.4,100
"Merseyside","Mersey-Cheshire","2018-02-01","Feb",2018,"Q1_2018",14.3,20.5,26.9,3.7,8.3,5.9,10,16.1,4.1,9.3,25,14,100
"Metropolitan and City","Greater London","2018-02-01","Feb",2018,"Q1_2018",13.6,30.9,30.2,12.9,14.6,13.2,15.3,15.7,7.7,26,10.2,23.5,100
"Norfolk","East of England","2018-02-01","Feb",2018,"Q1_2018",50,17.7,22.2,11.8,0,4.7,0,22.9,3.8,8.5,25,7.8,100
"Northamptonshire","East Midlands","2018-02-01","Feb",2018,"Q1_2018",0,23.3,0,8.3,0,12.5,22.2,5.6,17.1,11.1,10,9.7,100
"Northumbria","North East","2018-02-01","Feb",2018,"Q1_2018",0,21.9,25,12.7,0,8.5,25.8,17.3,9.9,9.2,20,13.8,100
"North Wales","Cymru/Wales","2018-02-01","Feb",2018,"Q1_2018",0,22.3,11.8,26.7,16.7,4.8,11.8,12.5,3.6,5.4,11.1,9.1,100
"North Yorkshire","Yorkshire and Humberside","2018-02-01","Feb",2018,"Q1_2018",0,22.4,0,0,0,8.7,18.2,10.7,9.1,18.4,7.1,18.8,100
"Nottinghamshire","East Midlands","2018-02-01","Feb",2018,"Q1_2018",0,17.7,18.2,12.5,10,7.2,8.3,20,8.8,14.5,15,9.7,100
"South Wales","Cymru/Wales","2018-02-01","Feb",2018,"Q1_2018",0,22.5,30.3,13.6,28.6,5.5,20.8,7.2,3.3,13.5,6.7,13.8,100
"South Yorkshire","Yorkshire and Humberside","2018-02-01","Feb",2018,"Q1_2018",50,28.2,8.3,3.2,37.5,7.3,16.7,22.9,2.8,17.8,5,10.1,100
"Staffordshire","West Midlands","2018-02-01","Feb",2018,"Q1_2018",0,24.1,26.1,8.7,25,9.8,8.3,15.6,2.6,17,12,8.7,100
"Suffolk","East of England","2018-02-01","Feb",2018,"Q1_2018",0,11.6,20,50,0,5.9,0,12.5,8.3,0,0,3.8,100
"Surrey","South East","2018-02-01","Feb",2018,"Q1_2018",0,17.9,22.7,4.8,0,10.5,7.7,10,6.5,20,8.3,9,100
"Sussex","South East","2018-02-01","Feb",2018,"Q1_2018",0,16.6,27.8,22.2,33.3,10.2,0,15.4,9.7,10.9,0,8,100
"Thames Valley","Thames and Chiltern","2018-02-01","Feb",2018,"Q1_2018",0,23.4,21.6,11.8,46.7,5.1,4,11.1,5,19.6,7.7,9,100
"Warwickshire","West Midlands","2018-02-01","Feb",2018,"Q1_2018",0,23.2,42.9,7.1,0,2,22.2,12.5,4.5,20,0,11.2,100
"West Mercia","West Midlands","2018-02-01","Feb",2018,"Q1_2018",0,16.7,28.6,16.7,0,5.6,6.7,20.7,9.1,9.8,25,11.7,100
"West Midlands","West Midlands","2018-02-01","Feb",2018,"Q1_2018",43.8,19.5,26.1,6.4,14.3,7.1,18.3,13.5,3.5,11.1,16.5,8.7,100
"West Yorkshire","Yorkshire and Humberside","2018-02-01","Feb",2018,"Q1_2018",20,20.8,19.4,16.4,17.1,4.3,24.3,18.3,5.5,12,7.1,17,100
"Wiltshire","Oxfordshire","2018-02-01","Feb",2018,"Q1_2018",0,13.2,27.3,11.1,0,7,33.3,23.5,8.3,10,0,7.8,100
"Avon and Somerset","South West","2018-03-01","Mar",2018,"Q1_2018",0,18.9,19.6,11.1,17.6,10.4,9.1,12.3,9.9,15.5,33.3,10.8,100
"Bedfordshire","Thames and Chiltern","2018-03-01","Mar",2018,"Q1_2018",0,24.7,7.7,0,12.5,12.5,0,15,3.9,5.6,9.1,14,100
"Cambridgeshire","East of England","2018-03-01","Mar",2018,"Q1_2018",0,20,16.7,7.7,25,9.2,13.3,15.4,5.4,21.4,0,7.2,100
"Cheshire","Mersey-Cheshire","2018-03-01","Mar",2018,"Q1_2018",0,11.3,9.7,0,20,3.9,4.8,13,5.2,10.1,0,10.4,100
"Cleveland","North East","2018-03-01","Mar",2018,"Q1_2018",0,27.3,0,10.3,0,3.2,0,11.1,5.3,15.6,0,12.9,100
"Cumbria","North West","2018-03-01","Mar",2018,"Q1_2018",0,14.4,0,12.5,0,2.5,10,13.6,0,4,20,10.7,100
"Derbyshire","East Midlands","2018-03-01","Mar",2018,"Q1_2018",0,21.9,21.4,0,45.5,7,10,17.6,12.5,9.4,0,13.9,100
"Devon and Cornwall","South West","2018-03-01","Mar",2018,"Q1_2018",0,13.8,23.1,7.7,0,3.8,0,5.9,3.6,5.4,8.3,9.2,100
"Dorset","Oxfordshire","2018-03-01","Mar",2018,"Q1_2018",0,18.2,26.7,0,25,8.2,0,8,0,16.1,14.3,11.5,100
"Durham","North East","2018-03-01","Mar",2018,"Q1_2018",0,14.4,50,10,0,4.5,22.2,13.5,10,6.9,33.3,1.1,100
"Dyfed Powys","Cymru/Wales","2018-03-01","Mar",2018,"Q1_2018",0,12.8,25,0,0,7.7,0,10,13.8,4.3,100,13.8,100
