"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Cheshire","Mersey-Cheshire",2017-09-01,"Sep","2017","Q3_2017",0,0,80.9,19.1,64.3,35.7,95,5,66.7,33.3,94,6,100,0,86.5,13.5,98.6,1.4,92.1,7.9,100,0,86.8,13.2,100
"Cleveland","North East",2017-09-01,"Sep","2017","Q3_2017",0,0,75.9,24.1,92.3,7.7,81.8,18.2,85.7,14.3,92.1,7.9,83.3,16.7,72.7,27.3,92.9,7.1,81.8,18.2,90.9,9.1,88.5,11.5,100
"Cumbria","North West",2017-09-01,"Sep","2017","Q3_2017",0,0,83.3,16.7,66.7,33.3,100,0,100,0,94,6,100,0,95.7,4.3,100,0,96.8,3.2,100,0,90.4,9.6,0
"Derbyshire","East Midlands",2017-09-01,"Sep","2017","Q3_2017",100,0,85.4,14.6,92.9,7.1,80.8,19.2,100,0,90.2,9.8,90.9,9.1,88.9,11.1,94.7,5.3,88,12,82.4,17.6,89.2,10.8,100
"Devon and Cornwall","South West",2017-09-01,"Sep","2017","Q3_2017",100,0,81.3,18.7,90.9,9.1,85.7,14.3,100,0,91.7,8.3,63.6,36.4,94.4,5.6,96.2,3.8,90.5,9.5,100,0,93.9,6.1,100
"Dorset","Oxfordshire",2017-09-01,"Sep","2017","Q3_2017",100,0,82.1,17.9,90.9,9.1,92.9,7.1,50,50,96.4,3.6,72.7,27.3,96.2,3.8,100,0,88.7,11.3,100,0,89.1,10.9,100
"Durham","North East",2017-09-01,"Sep","2017","Q3_2017",0,0,81.3,18.8,100,0,85,15,50,50,89,11,57.1,42.9,78.1,21.9,94.1,5.9,81.3,18.8,85.7,14.3,89.7,10.3,100
"Dyfed Powys","Cymru/Wales",2017-09-01,"Sep","2017","Q3_2017",0,0,80.6,19.4,0,100,100,0,100,0,96,4,66.7,33.3,95.7,4.3,97.4,2.6,91.7,8.3,100,0,89.2,10.8,100
"Essex","East of England",2017-09-01,"Sep","2017","Q3_2017",100,0,79,21,84.5,15.5,90.3,9.7,60,40,92.6,7.4,84.6,15.4,89.1,10.9,98.4,1.6,94,6,85.7,14.3,76.2,23.8,100
"Gloucestershire","South West",2017-09-01,"Sep","2017","Q3_2017",100,0,84.9,15.1,33.3,66.7,92.9,7.1,100,0,93.9,6.1,75,25,94.7,5.3,100,0,81.8,18.2,50,50,95.1,4.9,100
"GreaterManchester","North West",2017-09-01,"Sep","2017","Q3_2017",92.3,7.7,81.8,18.2,65.3,34.7,100,0,97.4,2.6,95,5,80,20,87.2,12.8,88,12,83.4,16.6,91.4,8.6,88.8,11.2,100
"Gwent","Cymru/Wales",2017-09-01,"Sep","2017","Q3_2017",0,0,79.6,20.4,72.7,27.3,66.7,33.3,0,100,92.2,7.8,100,0,78.3,21.7,100,0,83.3,16.7,80,20,80.2,19.8,100
"Hampshire","Oxfordshire",2017-09-01,"Sep","2017","Q3_2017",100,0,80.2,19.8,81.4,18.6,89.5,10.5,87.5,12.5,95.8,4.2,100,0,88.9,11.1,100,0,89.5,10.5,100,0,89.3,10.7,100
"Hertfordshire","Thames and Chiltern",2017-09-01,"Sep","2017","Q3_2017",100,0,78.4,21.6,100,0,96.2,3.8,100,0,95.8,4.2,80,20,89.7,10.3,98.2,1.8,86.7,13.3,72.7,27.3,83.1,16.9,100
"Humberside","Yorkshire and Humberside",2017-09-01,"Sep","2017","Q3_2017",0,0,86.6,13.4,84.6,15.4,87.5,12.5,77.8,22.2,91.5,8.5,86.7,13.3,87.8,12.2,85.1,14.9,94,6,92.9,7.1,82.7,17.3,100
"Kent","South East",2017-09-01,"Sep","2017","Q3_2017",100,0,80.1,19.9,85.7,14.3,85.2,14.8,70.6,29.4,91.4,8.6,88.4,11.6,87.5,12.5,96.4,3.6,84.8,15.2,90.3,9.7,89,11,100
"Lancashire","North West",2017-09-01,"Sep","2017","Q3_2017",0,0,76,24,95.7,4.3,94.7,5.3,88.9,11.1,93.1,6.9,73.1,26.9,91.7,8.3,96.8,3.2,90.6,9.4,94.4,5.6,84.6,15.4,100
"Leicestershire","East Midlands",2017-09-01,"Sep","2017","Q3_2017",100,0,86.8,13.2,70,30,83.9,16.1,83.3,16.7,92.3,7.7,91.7,8.3,84,16,91.5,8.5,89.1,10.9,91.7,8.3,78,22,100
"Lincolnshire","East Midlands",2017-09-01,"Sep","2017","Q3_2017",100,0,81.7,18.3,100,0,77.3,22.7,0,100,88.8,11.2,72.7,27.3,100,0,94.3,5.7,78.7,21.3,64.7,35.3,77.5,22.5,100
"Merseyside","Mersey-Cheshire",2017-09-01,"Sep","2017","Q3_2017",0,0,81.8,18.2,76.2,23.8,100,0,100,0,94.7,5.3,76.2,23.8,84.6,15.4,95.1,4.9,94.7,5.3,66.7,33.3,87.5,12.5,100
"Metropolitan and City","Greater London",2017-09-01,"Sep","2017","Q3_2017",92.3,7.7,68.1,31.9,70.3,29.7,74.2,25.8,79.8,20.2,82.8,17.2,85,15,81.7,18.3,91.4,8.6,76.1,23.9,83.3,16.7,74.9,25.1,100
"Norfolk","East of England",2017-09-01,"Sep","2017","Q3_2017",0,0,81.9,18.1,71.4,28.6,93.3,6.7,100,0,93.6,6.4,93.3,6.7,91.8,8.2,98.2,1.8,93.7,6.3,85.7,14.3,92.4,7.6,100
"Northamptonshire","East Midlands",2017-09-01,"Sep","2017","Q3_2017",0,0,84.6,15.4,88.9,11.1,75,25,0,0,91.5,8.5,100,0,100,0,91.7,8.3,84,16,100,0,89.6,10.4,100
"Northumbria","North East",2017-09-01,"Sep","2017","Q3_2017",100,0,75.2,24.8,69.3,30.7,87.5,12.5,90,10,92.8,7.2,82.1,17.9,88,12,82.9,17.1,86.7,13.3,92.3,7.7,84.9,15.1,100
"North Wales","Cymru/Wales",2017-09-01,"Sep","2017","Q3_2017",0,100,83.1,16.9,82.4,17.6,95.7,4.3,100,0,93.1,6.9,100,0,92.3,7.7,94.1,5.9,93.1,6.9,100,0,91.4,8.6,100
"North Yorkshire","Yorkshire and Humberside",2017-09-01,"Sep","2017","Q3_2017",100,0,89.6,10.4,76.9,23.1,95.7,4.3,0,0,94.6,5.4,76.9,23.1,88,12,90.9,9.1,87.7,12.3,78.9,21.1,91.9,8.1,100
"Nottinghamshire","East Midlands",2017-09-01,"Sep","2017","Q3_2017",100,0,78.9,21.1,77.8,22.2,85.2,14.8,81.8,18.2,92,8,94.1,5.9,88,12,89.7,10.3,88.5,11.5,85.7,14.3,88.5,11.5,100
"South Wales","Cymru/Wales",2017-09-01,"Sep","2017","Q3_2017",100,0,74.5,25.5,69.2,30.8,77.1,22.9,100,0,92.3,7.7,85.7,14.3,89.7,10.3,95.8,4.2,78.9,21.1,87.5,12.5,74.5,25.5,100
"South Yorkshire","Yorkshire and Humberside",2017-09-01,"Sep","2017","Q3_2017",75,25,74.9,25.1,87.5,12.5,87,13,100,0,85.3,14.7,85.7,14.3,85.7,14.3,93.7,6.3,90.7,9.3,86.7,13.3,89.8,10.2,100
"Staffordshire","West Midlands",2017-09-01,"Sep","2017","Q3_2017",0,0,76.7,23.3,72.7,27.3,81.8,18.2,100,0,91.1,8.9,86.4,13.6,85,15,96.8,3.2,82.4,17.6,85.7,14.3,82.7,17.3,100
"Suffolk","East of England",2017-09-01,"Sep","2017","Q3_2017",100,0,86.2,13.8,80,20,100,0,88.9,11.1,96.9,3.1,87.5,12.5,86.4,13.6,95.6,4.4,95.3,4.7,100,0,95.5,4.5,100
"Surrey","South East",2017-09-01,"Sep","2017","Q3_2017",100,0,79.1,20.9,75,25,92.9,7.1,100,0,90.5,9.5,86.7,13.3,87.5,12.5,100,0,90.9,9.1,100,0,89.6,10.4,100
"Sussex","South East",2017-09-01,"Sep","2017","Q3_2017",0,0,79.3,20.7,71.8,28.2,100,0,55.6,44.4,94.7,5.3,85.7,14.3,86.2,13.8,94.7,5.3,82.1,17.9,100,0,86.5,13.5,100
"Thames Valley","Thames and Chiltern",2017-09-01,"Sep","2017","Q3_2017",80,20,76.4,23.6,75.4,24.6,96.7,3.3,70,30,91.4,8.6,87.8,12.2,89,11,93.3,6.7,89,11,97,3,88.8,11.2,100
"Warwickshire","West Midlands",2017-09-01,"Sep","2017","Q3_2017",0,0,80.2,19.8,69.2,30.8,92.9,7.1,100,0,82.4,17.6,90.9,9.1,69.2,30.8,91.3,8.7,82.6,17.4,100,0,78.8,21.2,100
"West Mercia","West Midlands",2017-09-01,"Sep","2017","Q3_2017",100,0,78.6,21.4,69,31,83.3,16.7,66.7,33.3,93.3,6.7,80,20,89.1,10.9,96.6,3.4,92.6,7.4,84.6,15.4,87.6,12.4,100
"West Midlands","West Midlands",2017-09-01,"Sep","2017","Q3_2017",91.7,8.3,78,22,74.2,25.8,82.9,17.1,76.9,23.1,94.5,5.5,84.3,15.7,84.8,15.2,94.2,5.8,86.9,13.1,82.1,17.9,80.5,19.5,100
"West Yorkshire","Yorkshire and Humberside",2017-09-01,"Sep","2017","Q3_2017",71.4,28.6,85.9,14.1,68.3,31.7,94.4,5.6,93.8,6.3,94.2,5.8,85,15,84.3,15.7,96.5,3.5,91.1,8.9,75,25,91.8,8.2,100
"Wiltshire","Oxfordshire",2017-09-01,"Sep","2017","Q3_2017",0,0,86.7,13.3,100,0,87.5,12.5,0,0,98.3,1.7,100,0,92.9,7.1,100,0,87.5,12.5,87.5,12.5,97,3,100
"Avon and Somerset","South West",2017-10-01,"Oct","2017","Q4_2017",100,0,82.4,17.6,70.1,29.9,84,16,90,10,92.6,7.4,87.5,12.5,87.7,12.3,95.7,4.3,86.4,13.6,88.9,11.1,86.5,13.5,100
"Bedfordshire","Thames and Chiltern",2017-10-01,"Oct","2017","Q4_2017",100,0,64.4,35.6,100,0,90.9,9.1,75,25,83.1,16.9,83.3,16.7,92,8,97.3,2.7,67.6,32.4,88.9,11.1,77.5,22.5,100
"Cambridgeshire","East of England",2017-10-01,"Oct","2017","Q4_2017",80,20,79.5,20.5,91.7,8.3,86.7,13.3,54.5,45.5,97.3,2.7,94.4,5.6,86.7,13.3,91.7,8.3,76,24,80,20,84.8,15.2,100
"Cheshire","Mersey-Cheshire",2017-10-01,"Oct","2017","Q4_2017",100,0,81.7,18.3,65.7,34.3,86.4,13.6,100,0,96.9,3.1,81.5,18.5,86.2,13.8,97.3,2.7,96.4,3.6,88.2,11.8,88.4,11.6,100
"Cleveland","North East",2017-10-01,"Oct","2017","Q4_2017",100,0,71.2,28.8,91.7,8.3,83.3,16.7,37.5,62.5,96.6,3.4,83.3,16.7,89.7,10.3,90.9,9.1,80,20,100,0,91.3,8.8,100
"Cumbria","North West",2017-10-01,"Oct","2017","Q4_2017",0,0,90.8,9.2,100,0,75,25,0,0,100,0,100,0,88.9,11.1,100,0,95.3,4.7,77.8,22.2,88.1,11.9,100
"Derbyshire","East Midlands",2017-10-01,"Oct","2017","Q4_2017",100,0,73.1,26.9,90,10,81,19,100,0,90.3,9.7,85.7,14.3,83.8,16.2,93.9,6.1,85.7,14.3,85.7,14.3,84.9,15.1,100
"Devon and Cornwall","South West",2017-10-01,"Oct","2017","Q4_2017",75,25,83.7,16.3,100,0,100,0,100,0,92.9,7.1,100,0,93.2,6.8,95.2,4.8,86.6,13.4,73.3,26.7,88,12,100
"Dorset","Oxfordshire",2017-10-01,"Oct","2017","Q4_2017",100,0,89.1,10.9,81.8,18.2,83.3,16.7,0,100,95.1,4.9,84.6,15.4,79.2,20.8,94.4,5.6,95.7,4.3,100,0,90.1,9.9,100
"Durham","North East",2017-10-01,"Oct","2017","Q4_2017",66.7,33.3,84.5,15.5,87.5,12.5,81.3,18.8,50,50,94.6,5.4,91.7,8.3,80.6,19.4,75,25,60.6,39.4,100,0,94,6,100
"Dyfed Powys","Cymru/Wales",2017-10-01,"Oct","2017","Q4_2017",100,0,78.3,21.7,85.7,14.3,100,0,0,100,89.2,10.8,66.7,33.3,88.9,11.1,90.5,9.5,100,0,100,0,93.6,6.4,100
"Essex","East of England",2017-10-01,"Oct","2017","Q4_2017",100,0,81.2,18.8,70.1,29.9,96.8,3.2,60,40,91.7,8.3,82.6,17.4,89.3,10.7,91,9,83,17,76.9,23.1,83.9,16.1,100
"Gloucestershire","South West",2017-10-01,"Oct","2017","Q4_2017",100,0,75,25,100,0,69.2,30.8,0,0,95.2,4.8,100,0,80,20,90.5,9.5,90.9,9.1,100,0,89.7,10.3,100
"GreaterManchester","North West",2017-10-01,"Oct","2017","Q4_2017",100,0,78.3,21.7,70.9,29.1,93.5,6.5,92.3,7.7,90.6,9.4,74.1,25.9,88.2,11.8,97,3,93.4,6.6,84.8,15.2,86.2,13.8,100
"Gwent","Cymru/Wales",2017-10-01,"Oct","2017","Q4_2017",0,100,84.5,15.5,60,40,84.2,15.8,100,0,92.6,7.4,100,0,80,20,77.8,22.2,78.9,21.1,100,0,89.2,10.8,100
"Hampshire","Oxfordshire",2017-10-01,"Oct","2017","Q4_2017",0,0,81.9,18.1,86.2,13.8,88.6,11.4,100,0,95.4,4.6,78.8,21.2,90.7,9.3,98.5,1.5,82.5,17.5,81,19,93.4,6.6,100
"Hertfordshire","Thames and Chiltern",2017-10-01,"Oct","2017","Q4_2017",100,0,84.9,15.1,85.7,14.3,85.2,14.8,88.9,11.1,92.2,7.8,100,0,93.9,6.1,95,5,85.4,14.6,100,0,87.7,12.3,100
"Humberside","Yorkshire and Humberside",2017-10-01,"Oct","2017","Q4_2017",0,0,87,13,58.3,41.7,95.7,4.3,100,0,91.6,8.4,87.5,12.5,92.1,7.9,93,7,96.5,3.5,91.7,8.3,89.2,10.8,100
"Kent","South East",2017-10-01,"Oct","2017","Q4_2017",88.9,11.1,79.1,20.9,82.9,17.1,95.8,4.2,66.7,33.3,87.1,12.9,100,0,87.3,12.7,98.6,1.4,92.7,7.3,84,16,88.2,11.8,100
"Lancashire","North West",2017-10-01,"Oct","2017","Q4_2017",100,0,78.2,21.8,92.9,7.1,87.8,12.2,66.7,33.3,96.2,3.8,93.3,6.7,91,9,98.4,1.6,88.8,11.2,100,0,86.4,13.6,100
"Leicestershire","East Midlands",2017-10-01,"Oct","2017","Q4_2017",100,0,77.8,22.2,75,25,91.7,8.3,80,20,87.2,12.8,92.3,7.7,88.5,11.5,95,5,82.4,17.6,84.6,15.4,79.3,20.7,100
"Lincolnshire","East Midlands",2017-10-01,"Oct","2017","Q4_2017",0,0,88.6,11.4,100,0,88.9,11.1,66.7,33.3,90.3,9.7,91.7,8.3,82.1,17.9,100,0,80.6,19.4,90,10,83.9,16.1,100
"Merseyside","Mersey-Cheshire",2017-10-01,"Oct","2017","Q4_2017",100,0,80,20,80,20,89.5,10.5,50,50,97.5,2.5,94.1,5.9,87.8,12.2,94,6,89.5,10.5,94.3,5.7,80.8,19.2,100
"Metropolitan and City","Greater London",2017-10-01,"Oct","2017","Q4_2017",61.9,38.1,70.4,29.6,59.9,40.1,79.2,20.8,64.1,35.9,84.3,15.7,85.9,14.1,83.1,16.9,92.4,7.6,79,21,83.6,16.4,75.5,24.5,100
"Norfolk","East of England",2017-10-01,"Oct","2017","Q4_2017",0,0,87.5,12.5,93.3,6.7,100,0,0,100,96.3,3.7,100,0,95.2,4.8,98.6,1.4,90.4,9.6,92.3,7.7,92.9,7.1,100
"Northamptonshire","East Midlands",2017-10-01,"Oct","2017","Q4_2017",0,100,87.5,12.5,100,0,94.4,5.6,66.7,33.3,91.9,8.1,100,0,95.2,4.8,92.7,7.3,89.5,10.5,100,0,89.8,10.2,100
"Northumbria","North East",2017-10-01,"Oct","2017","Q4_2017",100,0,72.3,27.7,76.1,23.9,86.7,13.3,100,0,92.9,7.1,78.8,21.2,84.8,15.2,92,8,82.4,17.6,77.3,22.7,83.4,16.6,100
"North Wales","Cymru/Wales",2017-10-01,"Oct","2017","Q4_2017",100,0,84.2,15.8,85,15,70.6,29.4,50,50,97.5,2.5,100,0,88.9,11.1,100,0,91.9,8.1,100,0,93.7,6.3,100
"North Yorkshire","Yorkshire and Humberside",2017-10-01,"Oct","2017","Q4_2017",33.3,66.7,85.6,14.4,92.3,7.7,100,0,100,0,95.3,4.7,75,25,96.2,3.8,94.1,5.9,90.4,9.6,58.3,41.7,87.9,12.1,100
"Nottinghamshire","East Midlands",2017-10-01,"Oct","2017","Q4_2017",75,25,80.4,19.6,78.3,21.7,87,13,76.5,23.5,91,9,92.9,7.1,86.7,13.3,92.8,7.2,85.6,14.4,84.8,15.2,93.9,6.1,100
"South Wales","Cymru/Wales",2017-10-01,"Oct","2017","Q4_2017",100,0,72.4,27.6,77.8,22.2,85.7,14.3,63.6,36.4,96.2,3.8,91.7,8.3,88.1,11.9,96.4,3.6,84.7,15.3,93.3,6.7,89.8,10.2,100
"South Yorkshire","Yorkshire and Humberside",2017-10-01,"Oct","2017","Q4_2017",80,20,77.5,22.5,73.3,26.7,93.3,6.7,88.9,11.1,94,6,100,0,82.1,17.9,95.1,4.9,89.6,10.4,90.9,9.1,88,12,100
"Staffordshire","West Midlands",2017-10-01,"Oct","2017","Q4_2017",100,0,82.7,17.3,78.6,21.4,100,0,50,50,95.1,4.9,87.5,12.5,79.2,20.8,96.9,3.1,89.9,10.1,85.7,14.3,83.3,16.7,100
"Suffolk","East of England",2017-10-01,"Oct","2017","Q4_2017",0,0,80,20,91.7,8.3,100,0,100,0,94,6,77.8,22.2,95.7,4.3,95.9,4.1,97.1,2.9,100,0,90.5,9.5,100
"Surrey","South East",2017-10-01,"Oct","2017","Q4_2017",0,0,73.2,26.8,70.6,29.4,92.9,7.1,100,0,94.4,5.6,85.7,14.3,86.4,13.6,97.4,2.6,88.5,11.5,81.8,18.2,92.9,7.1,100
"Sussex","South East",2017-10-01,"Oct","2017","Q4_2017",100,0,76.9,23.1,62.8,37.2,86.2,13.8,80,20,91,9,87.5,12.5,89.7,10.3,96,4,97.8,2.2,100,0,88.3,11.7,100
"Thames Valley","Thames and Chiltern",2017-10-01,"Oct","2017","Q4_2017",66.7,33.3,83.6,16.4,80.7,19.3,87,13,61.1,38.9,93.2,6.8,90,10,81.7,18.3,95.8,4.2,89.6,10.4,89.3,10.7,85.9,14.1,100
"Warwickshire","West Midlands",2017-10-01,"Oct","2017","Q4_2017",100,0,84.2,15.8,50,50,87.5,12.5,100,0,91.8,8.2,100,0,91.7,8.3,86.7,13.3,89.5,10.5,60,40,81.8,18.2,100
"West Mercia","West Midlands",2017-10-01,"Oct","2017","Q4_2017",0,0,78.6,21.4,63,37,91.7,8.3,75,25,94.3,5.7,82.4,17.6,92.6,7.4,97.8,2.2,90.7,9.3,100,0,91.5,8.5,100
"West Midlands","West Midlands",2017-10-01,"Oct","2017","Q4_2017",85.7,14.3,80.5,19.5,68.3,31.7,94.8,5.2,77.5,22.5,93.8,6.2,84.5,15.5,81,19,93.3,6.7,84.9,15.1,91.1,8.9,89.2,10.8,100
"West Yorkshire","Yorkshire and Humberside",2017-10-01,"Oct","2017","Q4_2017",100,0,85,15,78.4,21.6,86.4,13.6,75,25,96.2,3.8,85.1,14.9,90.9,9.1,97.5,2.5,91.7,8.3,95,5,95.3,4.7,100
"Wiltshire","Oxfordshire",2017-10-01,"Oct","2017","Q4_2017",100,0,90.8,9.2,77.8,22.2,100,0,100,0,88.5,11.5,81.8,18.2,87.5,12.5,100,0,92.3,7.7,75,25,93,7,100
"Avon and Somerset","South West",2017-11-01,"Nov","2017","Q4_2017",80,20,79.5,20.5,76.6,23.4,93.8,6.3,81.8,18.2,94.6,5.4,78.1,21.9,79.5,20.5,94,6,86.6,13.4,92.9,7.1,93.1,6.9,100
"Bedfordshire","Thames and Chiltern",2017-11-01,"Nov","2017","Q4_2017",100,0,75.6,24.4,100,0,91.7,8.3,100,0,84.1,15.9,83.3,16.7,76.2,23.8,89.3,10.7,71.9,28.1,87.5,12.5,73.1,26.9,100
"Cambridgeshire","East of England",2017-11-01,"Nov","2017","Q4_2017",0,0,82.7,17.3,91.7,8.3,100,0,87.5,12.5,92.9,7.1,100,0,80,20,100,0,85.7,14.3,100,0,94.6,5.4,100
"Cheshire","Mersey-Cheshire",2017-11-01,"Nov","2017","Q4_2017",0,0,81.3,18.7,72,28,84.6,15.4,75,25,94.4,5.6,82.6,17.4,92.5,7.5,97.1,2.9,92.1,7.9,88.5,11.5,86.4,13.6,100
"Cleveland","North East",2017-11-01,"Nov","2017","Q4_2017",0,0,81.7,18.3,100,0,89.7,10.3,100,0,97,3,85.7,14.3,76.9,23.1,94.8,5.2,87.5,12.5,94.1,5.9,90,10,100
"Cumbria","North West",2017-11-01,"Nov","2017","Q4_2017",100,0,87,13,75,25,66.7,33.3,0,0,97.4,2.6,85.7,14.3,86.4,13.6,96.3,3.7,97.4,2.6,66.7,33.3,91.7,8.3,100
"Derbyshire","East Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,80.3,19.7,100,0,82.4,17.6,88.9,11.1,89.9,10.1,94.7,5.3,86.8,13.2,98.2,1.8,92.3,7.7,100,0,83.9,16.1,100
"Devon and Cornwall","South West",2017-11-01,"Nov","2017","Q4_2017",80,20,87.5,12.5,81.8,18.2,93.3,6.7,83.3,16.7,95.1,4.9,91.7,8.3,90.2,9.8,100,0,93,7,83.3,16.7,89.6,10.4,100
"Dorset","Oxfordshire",2017-11-01,"Nov","2017","Q4_2017",0,100,88,12,64.7,35.3,92.9,7.1,66.7,33.3,94.4,5.6,93.3,6.7,92,8,97.3,2.7,90.9,9.1,84.6,15.4,89.2,10.8,100
"Durham","North East",2017-11-01,"Nov","2017","Q4_2017",100,0,84.4,15.6,75,25,76,24,100,0,94.9,5.1,100,0,62.5,37.5,100,0,85.4,14.6,85.7,14.3,94.2,5.8,100
"Dyfed Powys","Cymru/Wales",2017-11-01,"Nov","2017","Q4_2017",0,0,81.9,18.1,72.7,27.3,83.3,16.7,0,0,95.5,4.5,100,0,85,15,96.4,3.6,80,20,75,25,86.3,13.7,100
"Essex","East of England",2017-11-01,"Nov","2017","Q4_2017",50,50,73.7,26.3,56.5,43.5,89.7,10.3,100,0,94.3,5.7,71.4,28.6,88.9,11.1,97.3,2.7,91.8,8.2,76.9,23.1,78.1,21.9,100
"Gloucestershire","South West",2017-11-01,"Nov","2017","Q4_2017",100,0,78.9,21.1,100,0,91.7,8.3,66.7,33.3,93.4,6.6,88.9,11.1,81.8,18.2,94.4,5.6,93.3,6.7,75,25,94.8,5.2,100
"GreaterManchester","North West",2017-11-01,"Nov","2017","Q4_2017",87.5,12.5,78.4,21.6,73.5,26.5,96.8,3.2,92.3,7.7,92.9,7.1,88,12,90.4,9.6,93.3,6.7,92.3,7.7,81.5,18.5,81.4,18.6,100
"Gwent","Cymru/Wales",2017-11-01,"Nov","2017","Q4_2017",100,0,79.2,20.8,66.7,33.3,85.7,14.3,100,0,88.1,11.9,83.3,16.7,63.6,36.4,96,4,78.3,21.7,90.9,9.1,83.9,16.1,100
"Hampshire","Oxfordshire",2017-11-01,"Nov","2017","Q4_2017",100,0,83,17,93.2,6.8,92.6,7.4,100,0,94.6,5.4,90,10,95.5,4.5,92.5,7.5,85.7,14.3,80,20,90.9,9.1,100
"Hertfordshire","Thames and Chiltern",2017-11-01,"Nov","2017","Q4_2017",0,100,75.1,24.9,90,10,72.2,27.8,61.5,38.5,96.8,3.2,92.3,7.7,85.7,14.3,91.2,8.8,83.7,16.3,80,20,83.9,16.1,100
"Humberside","Yorkshire and Humberside",2017-11-01,"Nov","2017","Q4_2017",100,0,83.9,16.1,66.7,33.3,100,0,85.7,14.3,95.4,4.6,83.3,16.7,84.2,15.8,94.9,5.1,93.2,6.8,87.5,12.5,84.9,15.1,100
"Kent","South East",2017-11-01,"Nov","2017","Q4_2017",58.8,41.2,84.1,15.9,85.4,14.6,90.9,9.1,100,0,92.2,7.8,88.9,11.1,79.1,20.9,95.3,4.7,71.8,28.2,88.9,11.1,92.5,7.5,100
"Lancashire","North West",2017-11-01,"Nov","2017","Q4_2017",100,0,78.3,21.7,86.7,13.3,84.6,15.4,76.5,23.5,95.8,4.2,100,0,87.1,12.9,89.4,10.6,85.7,14.3,100,0,82.3,17.7,100
"Leicestershire","East Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,80.2,19.8,66.7,33.3,96.4,3.6,100,0,94.7,5.3,100,0,80,20,92.4,7.6,88.7,11.3,90,10,81,19,100
"Lincolnshire","East Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,85.9,14.1,85.7,14.3,94.1,5.9,25,75,92.4,7.6,77.8,22.2,89.5,10.5,93.6,6.4,90.2,9.8,73.3,26.7,76,24,100
"Merseyside","Mersey-Cheshire",2017-11-01,"Nov","2017","Q4_2017",66.7,33.3,78.5,21.5,83.3,16.7,87.1,12.9,50,50,93.4,6.6,91.3,8.7,88,12,93.3,6.7,88.4,11.6,81.8,18.2,85.6,14.4,100
"Metropolitan and City","Greater London",2017-11-01,"Nov","2017","Q4_2017",69.4,30.6,70.5,29.5,68.2,31.8,83,17,78.1,21.9,84.7,15.3,86.3,13.7,81.4,18.6,91.9,8.1,75.3,24.7,87.7,12.3,75.5,24.5,100
"Norfolk","East of England",2017-11-01,"Nov","2017","Q4_2017",0,0,87.1,12.9,92.9,7.1,88.2,11.8,100,0,96.8,3.2,93.3,6.7,84.2,15.8,96,4,90.2,9.8,71.4,28.6,94.2,5.8,100
"Northamptonshire","East Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,81.8,18.2,100,0,81.8,18.2,66.7,33.3,89.2,10.8,66.7,33.3,93.5,6.5,95.7,4.3,100,0,87.5,12.5,89.6,10.4,100
"Northumbria","North East",2017-11-01,"Nov","2017","Q4_2017",33.3,66.7,71.4,28.6,59,41,77.2,22.8,100,0,91.7,8.3,81.8,18.2,84.1,15.9,90.1,9.9,84,16,75,25,83.6,16.4,100
"North Wales","Cymru/Wales",2017-11-01,"Nov","2017","Q4_2017",100,0,85.5,14.5,64.3,35.7,100,0,100,0,97.8,2.2,72.7,27.3,89.7,10.3,100,0,92.5,7.5,100,0,88.6,11.4,100
"North Yorkshire","Yorkshire and Humberside",2017-11-01,"Nov","2017","Q4_2017",0,100,77.5,22.5,75,25,88.2,11.8,50,50,92,8,100,0,66.7,33.3,89.3,10.7,88.1,11.9,100,0,85.7,14.3,100
"Nottinghamshire","East Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,82.3,17.7,74.1,25.9,87.1,12.9,75,25,94.1,5.9,82.4,17.6,87.8,12.2,90.3,9.7,91,9,84,16,94.1,5.9,100
"South Wales","Cymru/Wales",2017-11-01,"Nov","2017","Q4_2017",100,0,78,22,83.3,16.7,84.8,15.2,40,60,92.9,7.1,91.3,8.7,92.3,7.7,95,5,92.8,7.2,82.8,17.2,91.4,8.6,100
"South Yorkshire","Yorkshire and Humberside",2017-11-01,"Nov","2017","Q4_2017",0,0,80.1,19.9,92.9,7.1,90.4,9.6,90.9,9.1,93.8,6.3,87,13,81.3,18.8,97.5,2.5,93,7,100,0,92.4,7.6,100
"Staffordshire","West Midlands",2017-11-01,"Nov","2017","Q4_2017",100,0,76.1,23.9,91.7,8.3,84.2,15.8,50,50,92.6,7.4,87.5,12.5,86,14,95.7,4.3,89.4,10.6,100,0,86.7,13.3,100
